Renewable energy-All-purpose,Renewable energy-Biomass,Renewable energy-Geothermal,Renewable energy-Photovoltaic & solar,Renewable energy-Wave & Tidal,Renewable energy-Wind,id
False,False,False,True,False,False,3957109
False,False,False,True,False,False,3958062
False,False,False,True,False,False,3958553
False,False,False,True,False,False,3958554
False,False,False,True,False,False,3958755
False,False,False,True,False,False,3960135
False,False,False,True,False,False,3960136
False,False,False,True,False,False,3960322
False,False,False,False,True,False,3960629
False,False,False,True,False,False,3960668
False,False,False,True,False,False,3961472
False,False,False,True,False,False,3961619
False,False,True,False,False,False,3961866
False,False,False,True,False,False,3961997
False,False,False,True,False,False,3962873
False,False,False,True,False,False,3964155
False,False,False,True,False,False,3964268
False,False,False,True,False,False,3964464
False,False,False,True,False,False,3964678
False,True,False,False,False,False,3965130
False,False,True,False,False,False,3965363
False,False,False,False,True,False,3965446
False,False,False,True,False,False,3965683
False,False,False,True,False,False,3965696
False,False,False,True,False,False,3965887
False,False,False,True,False,False,3965972
False,False,False,True,False,False,3966499
False,False,False,True,False,False,3966541
False,False,False,False,True,False,3967218
False,False,True,False,False,False,3967448
False,False,True,True,False,False,3967450
False,False,True,False,False,False,3967675
False,False,False,True,False,True,3968652
False,False,False,True,False,False,3968786
False,False,False,True,False,False,3969163
False,True,False,False,False,False,3969540
False,False,False,True,False,False,3969746
False,False,False,True,False,False,3970069
False,False,False,True,False,False,3970070
False,False,False,True,False,False,3970525
False,False,True,False,False,False,3971317
False,False,False,True,False,False,3971359
False,False,False,True,False,False,3971454
False,True,False,False,False,False,3971700
False,False,False,True,False,False,3971943
False,False,False,True,False,False,3972183
False,False,False,True,False,False,3972316
False,False,False,True,False,False,3972317
False,False,False,True,False,False,3972651
False,False,False,True,False,False,3973553
False,False,False,True,False,False,3973745
False,False,False,True,False,False,3973994
False,False,False,True,False,False,3973996
False,True,False,False,False,False,3974032
False,True,False,False,False,False,3974033
False,True,False,False,False,False,3974034
False,False,True,False,False,True,3974394
False,False,False,False,True,False,3974696
False,False,False,True,False,False,3974822
False,False,False,True,False,False,3974823
False,False,False,True,False,False,3974824
False,False,False,True,False,False,3975211
False,False,True,False,False,False,3975674
False,False,False,False,True,False,3975720
False,False,True,False,False,False,3975912
False,False,False,True,False,False,3976508
False,False,False,True,False,False,3977601
False,False,False,True,False,False,3977773
False,False,True,False,False,False,3977818
False,False,False,True,False,False,3977835
False,False,False,True,False,False,3977905
False,False,False,True,False,False,3977909
False,True,False,False,False,False,3977966
False,False,False,True,False,False,3978272
False,False,False,True,False,False,3978510
False,False,False,True,False,False,3979597
False,False,False,True,False,False,3979656
False,False,False,True,False,False,3979838
False,False,False,True,False,False,3980071
False,False,False,True,False,False,3980130
False,False,False,True,False,False,3980996
False,False,False,True,False,False,3981151
False,False,False,True,False,False,3981293
False,False,False,True,False,False,3981295
False,False,True,False,False,False,3981626
False,False,False,True,False,False,3982265
False,False,False,True,False,False,3982526
False,False,False,True,False,False,3982527
False,False,False,True,False,False,3982963
False,False,False,True,False,False,3982964
False,False,False,False,True,False,3983356
False,False,False,True,False,False,3983704
False,False,False,True,False,False,3983861
False,False,False,True,False,False,3983929
False,False,False,True,False,False,3984881
False,False,False,True,False,False,3984985
False,False,True,False,False,False,3985110
False,False,False,True,False,False,3985116
False,False,False,True,False,False,3985117
False,False,False,True,False,False,3985118
False,False,False,True,False,False,3985119
False,False,False,True,False,False,3985579
False,False,False,True,False,False,3986021
False,False,False,True,False,False,3986354
False,False,True,False,False,False,3986362
False,False,False,True,False,False,3986489
False,False,False,True,False,False,3986490
False,False,False,True,False,False,3986491
False,False,True,False,False,False,3986553
False,False,False,True,False,False,3986936
False,False,False,True,False,False,3987630
False,False,False,True,False,False,3987780
False,False,False,True,False,False,3987781
False,False,False,True,False,False,3987782
False,False,False,True,False,False,3987783
False,False,False,True,False,False,3987784
False,False,False,True,False,False,3987786
False,False,False,True,False,False,3988110
False,False,False,True,False,False,3988166
False,False,False,True,False,False,3988167
False,False,False,True,False,False,3988172
False,False,False,True,False,True,3988592
False,False,True,False,False,False,3988896
False,False,False,True,False,False,3989031
False,False,False,True,False,False,3989032
False,False,False,True,False,False,3989417
False,False,False,True,False,False,3989541
False,False,False,False,True,False,3989951
False,False,False,True,False,False,3989994
False,False,False,True,False,False,3990097
False,False,False,True,False,False,3990101
False,False,False,True,False,False,3990429
False,False,False,True,False,False,3990430
False,False,False,True,False,False,3990431
False,False,False,True,False,False,3990502
False,False,False,True,False,False,3990635
False,False,False,True,False,False,3990914
False,True,False,False,False,False,3990945
False,False,False,True,False,False,3990953
False,False,False,True,False,False,3991740
False,False,False,True,False,False,3991742
False,False,True,False,False,False,3991817
False,False,False,True,False,False,3991936
False,False,False,True,False,False,3991937
False,False,False,True,False,False,3991938
False,False,False,True,False,False,3992105
False,False,False,True,False,False,3992246
False,False,False,True,False,False,3993041
False,False,False,True,False,False,3993458
False,False,False,True,False,False,3993505
False,False,False,True,False,False,3993528
False,False,False,True,False,False,3993533
False,False,False,True,False,False,3994012
False,False,False,True,False,False,3994276
False,False,False,True,False,False,3994278
False,False,False,True,False,False,3994279
False,False,False,True,False,False,3994435
False,True,False,False,False,False,3994780
False,True,False,False,False,False,3994781
False,True,False,False,False,False,3994802
False,False,False,False,True,False,3995193
False,False,True,False,False,False,3995428
False,False,True,True,False,False,3995429
False,False,False,True,False,False,3995613
False,False,False,True,False,False,3995614
False,False,False,True,False,False,3995615
False,False,True,False,False,False,3995705
False,False,False,True,False,False,3995804
False,False,False,True,False,False,3996067
False,False,False,True,False,False,3996473
False,False,False,True,False,False,3996650
False,False,False,True,False,False,3996759
False,False,False,True,False,False,3996917
False,False,False,True,False,False,3996918
False,False,False,True,False,False,3996919
False,False,False,True,False,False,3997108
False,False,False,False,True,False,3997241
False,True,False,False,False,False,3997543
False,False,False,True,False,False,3997830
False,False,False,True,False,False,3998006
False,False,False,True,False,False,3998056
False,False,False,True,False,False,3998205
False,False,False,True,False,False,3998206
False,False,False,True,False,False,3998207
False,False,False,True,False,False,3998659
False,True,False,False,False,False,3998701
False,True,False,False,False,False,3998815
False,False,False,False,True,False,3999026
False,False,False,True,False,False,3999283
False,False,False,True,False,False,3999389
False,False,False,True,False,False,3999536
False,False,False,True,False,False,4000505
False,False,False,True,False,False,4000733
False,False,False,True,False,False,4000734
False,False,False,True,False,False,4000850
False,False,False,True,False,False,4000851
False,False,False,True,False,False,4001704
False,False,False,True,False,False,4001864
False,False,False,True,False,False,4002031
False,False,False,True,False,False,4002032
False,False,False,True,False,False,4002158
False,False,False,True,False,False,4002159
False,False,False,True,False,False,4002160
False,False,False,True,False,False,4002499
False,False,False,True,False,False,4002541
False,False,True,False,False,False,4003250
False,False,False,True,False,False,4003363
False,False,False,True,False,False,4003364
False,False,False,True,False,False,4003365
False,False,False,True,False,False,4003366
False,False,False,True,False,False,4003367
False,False,False,True,False,False,4003638
False,False,False,True,False,False,4003756
False,False,False,True,False,False,4003770
False,False,False,True,False,False,4004380
False,False,False,True,False,False,4004571
False,False,False,True,False,False,4004572
False,False,False,True,False,False,4004573
False,False,False,True,False,False,4004574
False,False,False,True,False,False,4004949
False,False,True,False,False,False,4005289
False,False,False,True,False,False,4005583
False,False,False,True,False,False,4005698
False,False,False,False,True,False,4005927
False,False,False,False,True,False,4006339
False,False,False,False,True,False,4006425
False,False,False,False,True,False,4006436
False,False,False,True,False,False,4006570
False,False,False,True,False,False,4006594
False,False,False,True,False,False,4006731
False,False,False,True,False,False,4006856
False,False,False,True,False,False,4007728
False,False,False,True,False,False,4007729
False,False,False,True,False,False,4007776
False,False,False,True,False,False,4008348
False,False,True,False,False,False,4008608
False,False,False,True,False,False,4008708
False,False,False,True,False,False,4008758
False,False,False,True,False,False,4009051
False,False,False,True,False,False,4009054
False,False,True,False,False,False,4009082
False,False,False,True,False,False,4010080
False,False,False,True,False,False,4010614
False,False,False,True,False,False,4010620
False,False,False,True,False,False,4010732
False,False,False,True,False,False,4010733
False,False,False,True,False,False,4010734
False,False,False,True,False,False,4011149
False,False,False,True,False,False,4011190
False,False,False,True,False,False,4011731
False,False,False,True,False,False,4011856
False,False,False,True,False,False,4011857
False,False,False,True,False,False,4011858
False,False,False,True,False,False,4012911
False,False,False,True,False,False,4012920
False,False,False,True,False,False,4013062
False,False,True,False,False,False,4013568
False,False,False,True,False,False,4013885
False,False,False,True,False,False,4014313
False,False,False,True,False,False,4014314
False,False,False,True,False,False,4014380
False,False,False,True,False,False,4015582
False,False,False,True,False,False,4015583
False,False,False,True,False,False,4015584
False,False,False,True,False,False,4015585
False,False,False,True,False,False,4015586
False,False,False,True,False,False,4015962
False,False,True,False,False,False,4016075
False,False,False,True,False,False,4016586
False,False,False,True,False,False,4016860
False,False,False,True,False,False,4016861
False,False,True,False,False,False,4017120
False,False,False,True,False,False,4017285
False,False,False,True,False,False,4017332
False,False,False,False,True,False,4017344
False,False,False,False,True,False,4017863
False,False,False,True,False,False,4018211
False,False,False,True,False,False,4018212
False,False,False,True,False,False,4018213
False,False,False,True,False,False,4018215
False,False,False,True,False,False,4018581
False,False,False,True,False,False,4018626
False,False,False,False,True,False,4018642
False,False,False,True,False,False,4019494
False,False,False,True,False,False,4019495
False,False,False,True,False,False,4019496
False,False,False,True,False,False,4019868
False,False,False,True,False,False,4019924
False,False,False,True,False,False,4020826
False,False,False,True,False,False,4020827
False,False,False,True,False,False,4020897
False,False,False,True,False,False,4021267
False,False,False,True,False,False,4021323
False,True,False,False,False,False,4021368
False,False,False,True,False,False,4021895
False,False,True,False,False,False,4022025
False,False,False,True,False,False,4022184
False,False,False,True,False,False,4022185
False,False,False,True,False,False,4022186
False,False,False,True,False,False,4022187
False,False,False,True,False,False,4022188
False,False,False,True,False,False,4022947
False,False,False,True,False,False,4022950
False,False,True,False,False,False,4023136
False,False,False,True,False,False,4023368
False,False,False,True,False,False,4023375
False,False,False,True,False,False,4023555
False,False,False,True,False,False,4023556
False,False,False,True,False,False,4023948
False,False,False,True,False,False,4024558
False,False,False,True,False,False,4024715
False,False,False,True,False,False,4024726
False,False,False,True,False,False,4024823
False,False,False,True,False,False,4024852
False,False,False,True,False,False,4024853
False,False,False,True,False,False,4024908
False,False,True,False,False,False,4025240
False,False,False,True,False,False,4025786
False,False,False,False,True,False,4025804
False,False,True,False,False,False,4026111
False,False,False,True,False,False,4026112
False,False,False,True,False,False,4026267
False,False,False,True,False,False,4026268
False,False,False,True,False,False,4026269
False,False,False,True,False,False,4026271
False,False,False,True,False,False,4026272
False,False,False,True,False,False,4026273
False,False,False,True,False,False,4027447
False,False,False,True,False,False,4027651
False,False,False,True,False,False,4027652
False,False,False,True,False,False,4027653
False,False,False,True,False,False,4027821
False,False,False,True,False,False,4028008
False,False,False,False,True,False,4028643
False,False,False,True,False,False,4028854
False,False,False,True,False,False,4028893
False,False,False,True,False,False,4028895
False,False,False,True,False,False,4028904
False,False,False,True,False,False,4029077
False,False,False,True,False,False,4029080
False,False,False,True,False,False,4029081
False,False,False,True,False,False,4029082
False,False,False,True,False,False,4029258
False,False,False,True,False,False,4029518
False,False,False,True,False,False,4029519
True,False,False,False,False,False,4029827
False,False,False,True,False,False,4030102
False,False,True,True,False,False,4030303
False,False,False,True,False,False,4030312
False,False,False,True,False,False,4030477
False,False,False,True,False,False,4030478
False,False,True,False,False,False,4030549
False,False,False,True,False,False,4030890
False,False,False,True,False,False,4031362
False,False,False,True,False,False,4031385
False,False,False,True,False,False,4031444
False,False,True,False,False,False,4031826
False,False,False,True,False,False,4031879
False,False,False,True,False,False,4031880
False,False,False,True,False,False,4031881
False,False,False,True,False,False,4033081
False,False,False,True,False,False,4033118
False,False,False,True,False,False,4033126
False,False,False,True,False,False,4033136
False,False,False,True,False,False,4033324
False,False,False,True,False,False,4033325
False,False,False,True,False,False,4033326
False,False,False,True,False,False,4033327
False,False,False,True,False,False,4033676
False,False,False,False,True,False,4034231
False,False,False,True,False,False,4034569
False,False,False,True,False,False,4034735
False,False,False,True,False,False,4034736
False,False,False,True,False,False,4034737
False,False,False,True,False,False,4034738
False,False,False,True,False,False,4034912
False,True,False,False,False,False,4035515
False,True,False,False,False,False,4035517
False,False,False,True,False,False,4035659
False,False,False,True,False,False,4036019
False,False,False,True,False,False,4036206
False,False,False,True,False,False,4036207
False,False,False,True,False,False,4036208
False,False,False,True,False,False,4036285
False,False,False,True,False,False,4036666
False,False,True,False,False,False,4036764
False,False,False,True,False,False,4037014
False,False,False,True,False,False,4037029
False,False,False,True,False,False,4037583
False,False,False,True,False,False,4037652
False,False,False,True,False,False,4037785
False,False,False,True,False,False,4038104
False,False,False,False,True,False,4038614
False,False,False,True,False,False,4038826
False,False,False,True,False,False,4038964
False,False,False,True,False,False,4038965
False,False,False,True,False,False,4038966
False,False,False,True,False,False,4038967
False,False,False,True,False,False,4038969
False,False,False,True,False,False,4038970
False,False,False,True,False,False,4038972
False,False,False,False,True,False,4039803
False,False,False,True,False,False,4039808
False,False,False,True,False,False,4040410
False,False,False,True,False,False,4040411
False,False,False,True,False,False,4040566
False,False,False,True,False,False,4040867
False,True,False,False,False,False,4041182
False,False,False,True,False,False,4041271
False,False,False,True,False,False,4041318
False,False,False,True,False,False,4041641
False,False,False,True,False,False,4041663
False,False,False,True,False,False,4041705
False,False,False,True,False,False,4042417
False,False,False,True,False,False,4042418
False,False,False,True,False,False,4042447
False,False,True,False,False,False,4043129
False,False,False,True,False,False,4043315
False,False,False,True,False,False,4043316
False,False,False,True,False,False,4043317
False,False,False,True,False,False,4043318
False,False,True,False,False,False,4043386
False,False,False,True,False,False,4043834
False,True,False,False,False,False,4044500
False,False,False,True,False,False,4044752
False,False,False,True,False,False,4044753
False,False,False,True,False,False,4044754
False,False,True,False,False,False,4044830
False,False,False,True,False,False,4044948
False,False,False,True,False,False,4044949
False,False,False,True,False,False,4045245
False,False,False,True,False,False,4045246
False,False,False,True,False,False,4045315
False,False,False,False,True,False,4045638
False,False,False,True,False,False,4045880
False,False,False,True,False,False,4046133
False,False,False,True,False,False,4046134
False,False,False,True,False,False,4046135
False,False,False,True,False,False,4046136
False,False,False,True,False,False,4046462
False,False,False,True,False,False,4046639
False,False,False,True,False,False,4046640
False,False,True,False,False,False,4047093
False,False,False,True,False,False,4047385
False,False,False,True,False,False,4047517
False,False,False,True,False,False,4047518
False,False,False,True,False,False,4048812
False,False,False,True,False,False,4048980
False,False,False,True,False,False,4048981
False,False,False,True,False,False,4048982
False,False,False,True,False,False,4048983
False,False,False,True,False,False,4049046
False,False,False,True,False,False,4049194
False,False,False,True,False,False,4049195
False,False,False,True,False,False,4049351
False,False,False,True,False,False,4049407
False,False,False,True,False,False,4049879
False,False,False,True,False,False,4050443
False,False,False,True,False,False,4050445
False,False,True,False,False,False,4050517
False,False,False,True,False,False,4050626
False,False,False,True,False,False,4050777
False,False,False,True,False,False,4050907
False,False,True,False,False,False,4051677
False,False,False,True,False,False,4051678
False,False,False,True,False,False,4051769
False,False,False,True,False,False,4051832
False,False,False,True,False,False,4051833
False,False,False,True,False,False,4051834
False,False,False,True,False,False,4051835
False,False,False,True,False,False,4051999
False,False,False,True,False,False,4052000
False,False,False,True,False,False,4052001
False,False,False,True,False,False,4052181
False,False,False,True,False,False,4052536
False,False,False,False,True,False,4052662
False,False,False,True,False,False,4052782
False,False,True,False,False,False,4052857
False,False,True,False,False,False,4052858
False,False,False,False,True,False,4052888
False,False,False,True,False,False,4052974
False,False,False,True,False,False,4052975
False,False,False,True,False,False,4052976
False,False,False,True,False,False,4053327
False,False,False,True,False,False,4053368
False,False,False,True,False,False,4053576
False,False,False,True,False,False,4053918
False,False,False,True,False,False,4054124
False,False,False,True,False,False,4054125
False,False,True,False,False,False,4054175
False,False,True,False,False,False,4054176
False,False,False,True,False,False,4054246
False,False,False,False,True,False,4054255
False,False,False,True,False,False,4054981
False,False,False,True,False,False,4055055
False,False,False,True,False,False,4055161
False,False,False,True,False,False,4055162
False,False,False,True,False,False,4055163
False,False,False,True,False,False,4055442
False,False,False,True,False,False,4055491
False,False,False,True,False,False,4055707
False,False,False,True,False,False,4055948
False,False,False,True,False,False,4055956
False,False,False,True,False,False,4055960
False,False,False,True,False,False,4056090
False,False,False,True,False,False,4056092
False,False,False,True,False,False,4056093
False,False,False,True,False,False,4056094
False,False,False,True,False,False,4056313
False,False,False,True,False,False,4056404
False,False,False,True,False,False,4056405
False,True,False,False,False,False,4056465
False,False,False,True,False,False,4056879
False,False,True,False,False,False,4056969
False,False,False,True,False,False,4057048
False,False,False,True,False,False,4057401
False,False,False,True,False,False,4057439
False,False,True,True,False,False,4057736
False,False,True,False,False,False,4057964
False,False,False,True,False,False,4058109
False,False,False,True,False,False,4058110
False,False,False,True,False,False,4058111
False,False,False,True,False,False,4058418
False,False,False,True,False,False,4058729
False,False,False,True,False,False,4059093
False,False,False,True,False,False,4059094
False,False,False,True,False,False,4059095
False,False,False,True,False,False,4059126
False,False,True,False,False,False,4059156
False,False,False,True,False,False,4059226
False,False,True,False,False,False,4059959
False,False,False,True,False,False,4060054
False,False,False,True,False,False,4060070
False,False,False,True,False,False,4060071
False,False,False,True,False,False,4060072
False,False,False,True,False,False,4060195
False,False,False,False,True,False,4060212
False,False,False,True,False,False,4060916
False,False,True,False,False,False,4060988
False,False,False,True,False,False,4061129
False,False,False,True,False,False,4061130
False,False,False,True,False,False,4061131
False,False,False,True,False,False,4061132
False,False,False,True,False,False,4061267
False,False,False,True,False,False,4061555
False,False,False,True,False,False,4061830
False,False,False,True,False,False,4062038
False,False,False,True,False,False,4062102
False,False,False,True,False,False,4062189
False,False,False,True,False,False,4062346
False,False,False,True,False,False,4062347
False,False,False,True,False,False,4062350
False,False,False,True,False,False,4062351
False,False,False,True,False,False,4062352
False,False,False,True,False,False,4062371
False,False,True,True,False,False,4062489
False,True,False,False,False,False,4062727
False,False,True,False,False,False,4063417
False,False,True,False,False,False,4063418
False,False,False,True,False,False,4063419
False,False,True,False,False,False,4063509
False,False,False,True,False,False,4063544
False,False,False,True,False,False,4063545
False,False,False,True,False,False,4063546
False,False,False,True,False,False,4063547
False,False,False,True,False,False,4063963
False,False,False,True,False,False,4064326
False,False,False,True,False,False,4064522
False,False,False,True,False,False,4064705
False,False,False,True,False,False,4064865
False,False,False,True,False,False,4064866
False,False,False,True,False,False,4064867
False,False,False,True,False,False,4064868
False,False,False,True,False,False,4065053
False,True,False,False,False,False,4065353
False,False,False,True,False,False,4065592
False,False,False,True,False,False,4065593
False,False,False,True,False,False,4066062
False,False,False,True,False,False,4066063
False,False,False,True,False,False,4066118
False,False,True,False,False,False,4066404
False,False,False,True,False,False,4066815
False,False,True,False,False,False,4066891
False,False,False,True,False,False,4067314
False,False,False,True,False,False,4067315
False,False,False,True,False,False,4067316
False,False,False,True,False,False,4067317
False,False,False,True,False,False,4067319
False,False,False,True,False,False,4067347
False,False,False,True,False,False,4067764
False,True,False,False,False,False,4067821
False,False,False,True,False,False,4068361
False,False,False,True,False,False,4068421
False,False,False,True,False,False,4068474
False,False,False,True,False,False,4068476
False,False,False,True,False,False,4068652
False,False,False,True,False,False,4068653
False,True,False,False,False,False,4069103
False,False,False,True,False,False,4069593
False,False,False,True,False,False,4069673
False,False,False,True,False,False,4069674
False,False,False,True,False,False,4069809
False,False,False,True,False,False,4069810
False,False,False,True,False,False,4069811
False,False,False,True,False,False,4069812
False,False,False,True,False,False,4069971
False,False,False,True,False,False,4069973
False,False,False,True,False,False,4070205
False,False,False,True,False,False,4070689
False,False,False,True,False,False,4070861
False,False,False,True,False,False,4070870
False,False,False,True,False,False,4071016
False,False,False,True,False,False,4071018
False,False,False,True,False,False,4071608
False,False,False,False,True,False,4071833
False,False,False,True,False,False,4072142
False,False,False,True,False,False,4072262
False,False,False,True,False,False,4072472
False,False,False,True,False,False,4072541
False,False,False,True,False,False,4072579
False,False,False,True,False,False,4073282
False,False,False,True,False,False,4073283
False,False,False,True,False,False,4073284
False,False,False,True,False,False,4073285
False,False,False,True,False,False,4074305
False,False,False,True,False,False,4074406
False,False,False,True,False,False,4074678
False,False,False,True,False,False,4074704
False,False,False,True,False,False,4074705
False,False,False,True,False,False,4074706
False,False,True,False,False,False,4074754
False,False,False,True,False,False,4075034
False,False,False,True,False,False,4075063
False,False,False,True,False,False,4075847
False,False,False,True,False,False,4076013
False,False,False,True,False,False,4076015
False,False,False,True,False,False,4076016
False,False,False,True,False,False,4076025
False,False,False,True,False,False,4076026
False,False,False,True,False,False,4076076
False,False,True,False,False,False,4077220
False,False,False,True,False,False,4077391
False,False,False,True,False,False,4077392
False,False,False,True,False,False,4077393
False,False,False,True,False,False,4077818
False,False,False,True,False,False,4077849
False,False,False,True,False,False,4078293
False,False,False,True,False,False,4078332
False,False,False,False,True,True,4078382
False,False,False,True,False,False,4078545
False,False,False,True,False,False,4078546
False,False,False,True,False,False,4078547
False,False,False,True,False,False,4078548
False,False,False,True,False,False,4078549
False,False,False,True,False,False,4078603
False,False,True,False,False,False,4078610
False,False,False,True,False,False,4078747
False,False,False,True,False,False,4078944
False,False,False,True,False,False,4078945
False,False,False,True,False,False,4078975
False,False,False,True,False,False,4078976
False,False,False,False,True,False,4079221
False,False,False,True,False,False,4079249
False,False,False,True,False,False,4079263
False,False,False,True,False,False,4079445
False,False,False,True,False,False,4079546
False,False,True,False,False,False,4079590
False,False,False,True,False,False,4079591
False,False,False,True,False,False,4079725
False,False,False,True,False,False,4079726
False,False,False,True,False,False,4080221
False,False,False,True,False,False,4080271
False,True,False,False,False,False,4080288
False,False,False,True,False,False,4080954
False,False,False,True,False,False,4080955
False,False,False,True,False,False,4080956
False,False,False,True,False,False,4080957
False,False,False,True,False,False,4081024
False,False,False,True,False,False,4081289
False,False,False,True,False,False,4081290
False,True,False,False,False,False,4081556
False,False,False,True,False,False,4081965
False,False,False,True,False,False,4081966
False,False,False,True,False,False,4081967
False,False,False,True,False,False,4082079
False,False,False,True,False,False,4082080
False,False,False,True,False,False,4082081
False,False,False,True,False,False,4082082
False,False,True,False,False,False,4082140
False,False,False,True,False,False,4082143
False,False,False,True,False,False,4082413
False,False,False,True,False,False,4082568
False,False,False,True,False,False,4082569
False,False,False,True,False,False,4082570
False,False,False,True,False,False,4082907
False,False,False,True,False,False,4083093
False,False,False,True,False,False,4083097
False,False,False,True,False,False,4083356
False,False,False,True,False,False,4083357
False,False,False,True,False,False,4083358
False,False,False,True,False,False,4083359
False,False,False,True,False,False,4083360
False,False,False,True,False,False,4083490
False,False,False,True,False,False,4084024
False,False,False,True,False,False,4084044
False,False,False,True,False,False,4084573
False,False,False,True,False,False,4084574
False,False,False,True,False,False,4084575
False,False,False,True,False,False,4084576
False,False,False,True,False,False,4084577
False,False,False,True,False,False,4084578
False,False,False,True,False,False,4084579
False,False,False,True,False,False,4084580
False,False,False,True,False,False,4084581
False,False,False,True,False,False,4084985
False,False,False,True,False,False,4085491
False,False,False,True,False,False,4085591
False,False,False,True,False,True,4085667
False,False,False,True,False,False,4085728
False,False,False,True,False,False,4085729
False,False,False,True,False,False,4085730
False,False,False,True,False,False,4085731
False,False,False,True,False,False,4085732
False,False,False,True,False,False,4085733
False,False,False,True,False,False,4085734
False,False,True,False,False,False,4085795
False,False,False,True,False,False,4086072
False,False,False,True,False,False,4086102
False,False,False,True,False,False,4086485
False,False,False,True,False,False,4086711
False,False,True,True,False,False,4086769
False,False,False,True,False,False,4086908
False,False,False,True,False,False,4086909
False,False,False,True,False,False,4086910
False,False,False,True,False,False,4086911
False,False,False,True,False,False,4086912
False,False,False,True,False,False,4086913
False,False,False,True,False,False,4087735
False,False,False,True,False,False,4087799
False,True,False,True,False,False,4087936
False,False,False,True,False,False,4087960
False,False,False,True,False,False,4087971
False,False,False,True,False,False,4087976
False,False,False,True,False,False,4088115
False,False,False,True,False,False,4088117
False,False,False,True,False,False,4088118
False,False,False,True,False,False,4088119
False,False,False,True,False,False,4088120
False,False,False,True,False,False,4088121
False,False,False,True,False,False,4088266
False,False,False,True,False,False,4088451
False,False,False,True,False,False,4088547
False,False,True,False,False,False,4088583
False,False,True,False,False,False,4088743
False,False,False,False,True,False,4088907
False,False,False,True,False,False,4089142
False,False,False,True,False,False,4089174
False,False,True,False,False,False,4089175
False,False,False,True,False,False,4089323
False,False,False,True,False,False,4089325
False,False,False,True,False,False,4089326
False,False,False,True,False,False,4089705
False,False,False,True,False,False,4089916
False,False,False,True,False,False,4090070
False,False,False,True,False,False,4090213
False,False,False,True,False,False,4090359
False,False,False,True,False,False,4090493
False,False,False,True,False,False,4090494
False,False,False,True,False,False,4090495
False,False,False,True,False,False,4090496
False,False,False,True,False,False,4090497
False,False,False,True,False,False,4090498
False,False,True,False,False,False,4090572
False,False,False,True,False,False,4090577
False,False,False,True,False,False,4090715
False,False,False,True,False,False,4090933
False,True,False,False,False,False,4091118
False,False,False,True,False,False,4091592
False,False,False,True,True,False,4091622
False,False,True,False,False,False,4091623
False,False,False,True,False,False,4091793
False,False,False,True,False,False,4091796
False,False,False,True,False,False,4091797
False,False,False,True,False,False,4091798
False,False,False,True,False,False,4091799
False,False,False,True,False,False,4091800
False,False,True,False,False,False,4092404
False,False,False,True,False,False,4092453
False,False,False,True,False,False,4092978
False,False,False,True,False,False,4092979
False,False,False,True,False,False,4093473
False,False,False,True,False,False,4094146
False,False,False,True,False,False,4094147
False,False,False,True,False,False,4094299
False,False,False,True,False,False,4094300
False,False,False,True,False,False,4094301
False,False,True,False,False,False,4094356
False,False,False,True,False,False,4094377
False,False,False,True,False,False,4094703
False,False,False,True,False,False,4094704
False,False,False,True,False,False,4094717
