Renewable energy-All-purpose,Renewable energy-Biomass,Renewable energy-Geothermal,Renewable energy-Photovoltaic & solar,Renewable energy-Wave & Tidal,Renewable energy-Wind,id_x,patent_id,assignee_id,id_y,type,name_first,name_last,organization,compare_organization,DUNS,DUNS4,CAGE_CODE,DODAAC,LEGAL_BUSINESS_NAME,DBA_NAME,PHYSICAL_ADDRESS_LINE_1,PHYSICAL_ADDRESS_LINE_2,PHYSICAL_ADDRESS_CITY,PHYSICAL_ADDRESS_PROVINCE_OR_STATE,PHYSICAL_ADDRESS_ZIP,PHYSICAL_ADDRESS_ZIP4,PHYSICAL_ADDRESS_COUNTRY_CODE,ENTITY_CONGRESSIONAL_DISTRICT,CORPORATE_URL,ENTITY_STRUCTURE,STATE_OF INC,COUNTRY_OF_INC,BUSINESS_TYPE_COUNTER,BUSINESS_TYPES,PRIMARY_NAICS,NAICS_CODE_COUNTER,NAICS_CODES,PSC_CODE_COUNTER,PSC_CODES,SBA_BUSINESS_TYPES_COUNTER,SBA_BUSINESS_TYPES,compare_lbn,compare_dban
False,False,False,True,False,False,9352887,9352887,c925c48a8d75931990ce0d27301191a9,c925c48a8d75931990ce0d27301191a9,2,,,"Big Belly Solar, Inc.","big belly solar, inc.",145725037,,43DE9,,"BIG BELLY SOLAR, INC.",,150 A ST # 103,,NEEDHAM HEIGHTS,MA,2494,2807.0,USA,4.0,,2L,DE,usa,1.0,2X,332439.0,1.0,332439Y,1.0,4540,0.0,,"big belly solar, inc.",nan
False,False,False,True,False,False,9404197,9404197,932ff610935ad60d552c865e314b77fb,932ff610935ad60d552c865e314b77fb,2,,,"Soraa, Inc.","soraa, inc.",809425742,,534A1,,"SORAA, INC.",,6500 KAISER DR STE 110,,FREMONT,CA,94555.0,3662.0,USA,15.0,,2L,DE,usa,2.0,2X~MF,541712.0,2.0,423690Y~541712E,0.0,,0.0,,"soraa, inc.",nan
False,False,False,True,False,False,9564320,9564320,932ff610935ad60d552c865e314b77fb,932ff610935ad60d552c865e314b77fb,2,,,"Soraa, Inc.","soraa, inc.",809425742,,534A1,,"SORAA, INC.",,6500 KAISER DR STE 110,,FREMONT,CA,94555.0,3662.0,USA,15.0,,2L,DE,usa,2.0,2X~MF,541712.0,2.0,423690Y~541712E,0.0,,0.0,,"soraa, inc.",nan
False,False,False,True,False,False,9589792,9589792,932ff610935ad60d552c865e314b77fb,932ff610935ad60d552c865e314b77fb,2,,,"Soraa, Inc.","soraa, inc.",809425742,,534A1,,"SORAA, INC.",,6500 KAISER DR STE 110,,FREMONT,CA,94555.0,3662.0,USA,15.0,,2L,DE,usa,2.0,2X~MF,541712.0,2.0,423690Y~541712E,0.0,,0.0,,"soraa, inc.",nan
True,False,False,False,True,False,9435317,9435317,32faa4205e4bad125f67ce048f0bdb47,32faa4205e4bad125f67ce048f0bdb47,2,,,Wave Energy Conversion Corporation of America,wave energy conversion corporation of america,966794435,,6D7W0,,WAVE ENERGY CONVERSION CORPORATION OF AMERICA,WECCA,11021 ROSEMONT DRIVE,,NORTH BETHESDA,MD,20852,3650.0,USA,8.0,,2L,DE,usa,3.0,2X~A5~MF,221111.0,1.0,221111Y,5.0,AG91~AG93~AG94~AG95~AP54,0.0,,wave energy conversion corporation of america,wecca
False,True,False,False,False,False,9441020,9441020,1fb35e696fda345ae9047c5522829fff,1fb35e696fda345ae9047c5522829fff,2,,,"Synthetic Genomics, Inc.","synthetic genomics, inc.",623775660,,5CCQ9,,"SYNTHETIC GENOMICS, INC.",,11149 N TORREY PINES RD STE 100,,LA JOLLA,CA,92037,1031.0,USA,49.0,,2L,DE,usa,1.0,2X,541711.0,1.0,541711Y,0.0,,0.0,,"synthetic genomics, inc.",nan
False,True,False,False,False,False,9528061,9528061,1fb35e696fda345ae9047c5522829fff,1fb35e696fda345ae9047c5522829fff,2,,,"Synthetic Genomics, Inc.","synthetic genomics, inc.",623775660,,5CCQ9,,"SYNTHETIC GENOMICS, INC.",,11149 N TORREY PINES RD STE 100,,LA JOLLA,CA,92037,1031.0,USA,49.0,,2L,DE,usa,1.0,2X,541711.0,1.0,541711Y,0.0,,0.0,,"synthetic genomics, inc.",nan
False,False,False,True,False,False,9484475,9484475,4428356f393b519246fc2a254f177966,4428356f393b519246fc2a254f177966,2,,,Drexel University,drexel university,168722788,,32TW4,,DREXEL UNIVERSITY,OFFICE OF STUDENT ACCOUNTS,3141 CHESTNUT ST,,PHILADELPHIA,PA,19104,2816.0,USA,2.0,,ZZ,PA,usa,2.0,2X~VW,611310.0,1.0,611310Y,1.0,U005,0.0,,drexel university,office of student accounts
False,False,False,True,False,False,9494297,9494297,8d8397bb2ef6d025f137a6c09ee9ce09,8d8397bb2ef6d025f137a6c09ee9ce09,2,,,"Continental Manufacturing, LLC","continental manufacturing, llc",791068732,,75ET6,,"CONTINENTAL MANUFACTURING, LLC",SOLAS RAY,1524 JACKSON ST,,ANDERSON,IN,46016,1621.0,USA,5.0,,2K,IN,usa,5.0,27~2X~8W~A2~MF,335122.0,5.0,238210N~335121Y~335122Y~335129Y~561320Y,1.0,6210,0.0,,"continental manufacturing, llc",solas ray
True,False,False,True,False,True,9523285,9523285,8c191d5bf1fe47b88e1c18928cf33767,8c191d5bf1fe47b88e1c18928cf33767,2,,,"Chromalox, Inc.","chromalox, inc.",38469461,,10023,,"CHROMALOX, INC.",,1347 HEIL QUAKER BLVD,,LA VERGNE,TN,37086,3517.0,USA,4.0,,2L,DE,usa,2.0,2X~MF,333414.0,2.0,333414N~333415Y,0.0,,0.0,,"chromalox, inc.",nan
True,False,False,True,False,True,9523285,9523285,8c191d5bf1fe47b88e1c18928cf33767,8c191d5bf1fe47b88e1c18928cf33767,2,,,"Chromalox, Inc.","chromalox, inc.",38469974,,1DE81,,"CHROMALOX, INC.",,131 INTERNATIONAL BLVD,,LA VERGNE,TN,37086,3226.0,USA,4.0,,2L,DE,usa,1.0,2X,333414.0,2.0,333414N~333415Y,0.0,,0.0,,"chromalox, inc.",nan
False,False,False,True,False,False,9525099,9525099,26366595034f429a820018630804531a,26366595034f429a820018630804531a,2,,,"INTEVAC, INC.","intevac, inc.",622670529,,0PCT5,,"INTEVAC, INC.",,3560 BASSETT ST,,SANTA CLARA,CA,95054,2704.0,USA,17.0,,2L,DE,usa,3.0,2X~MF~VW,333249.0,1.0,333249Y,0.0,,0.0,,"intevac, inc.",nan
False,False,False,True,False,False,9543456,9543456,5bb98c99f12192771f23e51ff82b5c29,5bb98c99f12192771f23e51ff82b5c29,2,,,"Magnolia Solar, Inc.","magnolia solar, inc.",828761762,,5A4P1,,"MAGNOLIA SOLAR, INC.",,54 CUMMINGS PARK STE 316,,WOBURN,MA,1801,2123.0,USA,5.0,,2L,DE,usa,3.0,2X~MF~VW,541712.0,2.0,334413Y~541712E,0.0,,0.0,,"magnolia solar, inc.",nan
False,False,False,True,False,False,9590133,9590133,5bb98c99f12192771f23e51ff82b5c29,5bb98c99f12192771f23e51ff82b5c29,2,,,"Magnolia Solar, Inc.","magnolia solar, inc.",828761762,,5A4P1,,"MAGNOLIA SOLAR, INC.",,54 CUMMINGS PARK STE 316,,WOBURN,MA,1801,2123.0,USA,5.0,,2L,DE,usa,3.0,2X~MF~VW,541712.0,2.0,334413Y~541712E,0.0,,0.0,,"magnolia solar, inc.",nan
False,True,False,False,False,False,9556307,9556307,28460fc91d5ee12f30b1304aea02c091,28460fc91d5ee12f30b1304aea02c091,2,,,"Genomatica, Inc.","genomatica, inc.",71401090,,3BX93,,"GENOMATICA, INC.",,4757 NEXUS CENTER DR,,SAN DIEGO,CA,92121.0,3051.0,USA,52.0,,2L,DE,usa,3.0,27~2X~VW,541711.0,1.0,541711Y,1.0,AN11,0.0,,"genomatica, inc.",nan
False,False,False,True,False,False,9502907,9502907,f7d78e6e7593c51eb4b7c23d5ce26cb7,f7d78e6e7593c51eb4b7c23d5ce26cb7,2,,,HOWARD INDUSTRIES,howard industries,28522811,,1K0B4,,CLIMATE INDUSTRIES INC.,HOWARD INDUSTRIES,8855 WASHINGTON BLVD,,CULVER CITY,CA,90232,2323.0,USA,37.0,,2L,CA,usa,1.0,2X,423730.0,1.0,423730Y,0.0,,0.0,,climate industries inc.,howard industries
