"Company Name","Address","City","State","ZIP Code","Website","Company Description","Primary NAICS","NAICS 1","NAICS 2","NAICS 3","NAICS 4","Location Employee Size Actual","Location Sales Volume Actual","Type of Business"
"Hueytown Middle School","701 Sunrise Blvd","Bessemer","AL","35023","Jefcoed.Com","Hueytown Middle School serves students in grades six through eight and offers a range of educational services. Its academic curriculum includes various subjects, such as social studies, science, language arts, English, mathematics, reading, physical education, family and consumer science and computer technology. The school offers a range of athletic activities, including basketball, baseball, cheerleading, football, golf, track, volleyball and wrestling. It also provides a variety of student organizations and clubs, such as art, science, debate and drama clubs, band, chorus, the National Junior Honor Society, pep squad, student s council and yearbook. The school s media center has a large collection of books and reference materials. It is located in Hueytown, Ala.","611110","611110","","","","00065","$0","Private"
"Leading Edge Realty Group","507 Drake Ave SW # A","Huntsville","AL","35801","Remax.Com","","531210","531210","","","","00002","$228,000","Private"
"Model Nails","4977 Promenade Pkwy # 111","Bessemer","AL","35022","Modelnailsbessemer.Com","","812113","812113","","","","00004","$130,000","Private"
"Penske Truck Rental","2410 Beltline Rd SW","Decatur","AL","35601","Penske.Com","Penske Truck Rental provides do-it-yourself movers with clean, well-maintained and reliable trucks and vans as well as moving equipment, moving boxes, packing supplies and other moving accessories.","532120","441120","532289","532120","532120","00012","$4,087,000","Private"
"Rite Aid","150 S Ann St","Mobile","AL","36604","Riteaid.Com","Founded in 1962, Rite Aid Corporation is one of the leading drugstore chains in the United States. The company operates more than 4,900 stores in over 30 U.S. states and employs a staff of nearly 109,000 associates. It is a publicly traded company and has annual revenues of approximately $20 billion. Rite Aid Corporation offers health information related to diabetes, allergies and vitamins. The company s stores provide pharmacy, beauty and personal care products, as well as videos and articles on a range of caregiving topics. Its online store offers razors, lip balms, lotions, herbs, lubricants, contraceptives and books. The company s stores also provide a variety of photo greeting cards, mugs, toys, calendars, promotional coupons, and nutritional and wellness products. Rite Aid Corporation works in partnership with Lindora to offer weight management programs. Some of its pharmacy centers are accredited by the National Association of Boards of Pharmacy. In addition, the company operates the Rite Aid Foundation, which supports several community-based events, including Children's Miracle Network Campaign and American Diabetes Alert Campaign.","446110","452319","446191","446110","446110","00006","$2,054,000","Branch of Public Company"
"Spa 22","10313 #Bc","Calera","AL","35040","Gmail.Com","","812112","812113","812112","812112","812199","00010","$478,000","Private"
"Truitt Co Inc","3004 7th Ave S","Birmingham","AL","35233","Truittinsurance.Com","Founded in 1991, Truitt Insurance & Bonding Inc. is a provider of commercial, life and home insurance products. Based in Birmingham, Ala., the company serves the insurance and bonding needs of a variety of businesses and individuals throughout Alabama and the surrounding states. It offers a wide range of commercial property and casualty insurance products, including business automobile coverage, commercial property insurance, crime insurance, errors and omissions, fiduciary liability, commercial umbrella, general liability, boiler and machinery, employment practices liability, inland marine coverage, and kidnap /ransom insurance among others. The firm provides various types of bonds, such as bid, performance and payment bonds, license and permit bonds, and notary, court, fiduciary and public official bonds.","524210","524210","531210","","","00009","$1,335,000","Private"
"Wells Fargo Bank Atm","2143 Interstate Dr","Opelika","AL","36801","Wellsfargo.Com","Wells Fargo and Company (NYSE: WFC) is a nationwide, diversified financial services company with 1.6 trillion dollars in assets. Founded in 1852, Wells Fargo provides banking, insurance, investments, mortgage, and consumer and commercial finance through more than 8,700 locations, more than 12,500 ATMs, online, wellsfargo.com, and mobile devices. Were headquartered in San Francisco, but were decentralized so every local Wells Fargo store is a headquarters for satisfying all our customers financial needs and helping them succeed financially. We do business with one in three U.S. households. Wells Fargo has more than 265,000 team members in 36 countries across our approximately 90 businesses. At the end of third quarter 2014, Wells Fargo ranked fourth in assets among U.S. banks and was the worlds most valuable bank by market capitalization. In 2013, Euromoney named Wells Fargo 'Best Bank in its Global Awards for Excellence, the first time a U.S.-based bank has won the top award. The Chronicle of Philanthropy ranked Wells Fargos corporate giving in the top two among all U.S. companies each of the past two years. Our vision: We want to satisfy all our customers financial needs and help them succeed financially.","522110","522110","","","","00000","$0","Private"
"Arkansas Medical Supply","300 S Rodney Parham Rd # 18","Little Rock","AR","72205","Arkansasmedicalsupply.Com","Arkansas Medical Supply is a supplier of ostomy, urological, incontinence, wound-care and compression stockings. Located in Little Rock, Ark., it offers a variety of latex-free supplies, including gloves, catheters, connection tubing, leg bags, diapers, underpads and pull-ups. In addition, it provides a host of products that assist in daily living needs such as comfort bath products, mouth care products, grab bars, sock and stocking aids, bendable utensils, zipper/button puller, convalescent wear, Posey products, Seca scales and much more. Arkansas Medical Supply's specialty items include scrubs, lab coats, stethoscopes, penlights, totes, first aid supplies and novelty items.","423450","423450","423450","446110","446199","00008","$10,197,000","Private"
"Camp Winnamocka","42 Kermit Dr","Arkadelphia","AR","71923","Winnamocka.Com","","721214","721214","","","","00010","$845,000","Private"
"Dollar General","506 Highway 64 E","Conway","AR","72032","Dollargeneral.Com","Dollar General is the nation's largest small-box discount retailer. We make shopping for everyday needs simpler by offering the most popular brands at low everyday prices in convenient locations.","452319","452210","452210","452210","452319","00007","$1,146,000","Branch of Public Company"
"Go Mini's","621 W 8th St","Little Rock","AR","72201","Gominis.Com","","531130","484110","531130","454110","","00015","$1,630,000","Private"
"KNOX Orthopaedics","3 Medical Plz","Mountain Home","AR","72653","Knoxorthopaedics.Com","","621111","621111","621111","621391","621399","00012","$2,287,000","Private"
"Nick's Superstop","7400 Cantrell Rd","Little Rock","AR","72207","Shell.Com","","447190","445120","447190","522110","811192","00006","$4,529,000","Private"
"Rivercity Hydraulics","122 Magnet Dr","Sherwood","AR","72120","Rivercityhyd.Com","River City Hydraulics, Inc was founded in 1982 by Harry Long. Initially, the company's aim was to be a hydraulic repair shop, performing maintenance on hydraulic valves, cylinders, pumps and motors. In addition, we designed and manufactured hydraulic and pneumatic automated machines for specialized projects in the private sector. Although a large percentage of our business originated in the mobile hydraulic repair sector, we also sought out industrial accounts, performing major repairs on injection molding machines, printing machines, bag machines, lumber mills, and various assembly plants. This varied market was a profitable endeavor as we were able to design/redesign machines as the need arose. As time passed, we found the mobile industry to be a more lucrative market as it was less controlled by the economy, especially true in the refuse industry. Though not a major component of our business at first, we gained experience repairing refuse trucks and compactors. Our customers approached us with the possibility of retailing new models instead of only repairing existing trucks. At that time in Arkansas, Pac-mor was the most widely known and utilized in the area, so we naturally became dealers for this and other entities like Leach. After a period of negations with representatives from the Heil corporation, we also decided to represent their prestigious line. Heil proved to be an especially good fit for our growing company as we were already dealers for smaller lines like Tymso Air Sweepers, Galbreath Hoist, Peterson Loaders, and Stellar Hook Lifts. The company continued to grow as our reputation in the expanding field of hydraulics became cemented by dozens of satisfied customers. We began in 1982 with a one-bay shop and a small three-office rental building. In the early 1990's, we bought a half-acre plot on which our new 6000 square foot shop was to be located. Just in the previous year, we have purchased an additional acre in our hometown hometown Sherwood AR, which will become home to a new 6000 sq. ft building holding four supplemental working bays. We also maintain a facility in West Memphis, AR which manages sales and contratcts for Tennessee, Missouri, and part of Arkansas. River City Hydraulics has been serving Arkansas and the surrounding areas for 25 years. As a whole, we believe we represent the top manufacturing companies in the refuse industry. Our primary line is Heil, a product that was virtually non-existent in our territory prior to our becoming dealers for this quality company. Per Heil corporate report, 86% of the packer bodies in use in our region were produced by their company, demonstrating the aggressiveness and productivity of our committed sales team. We carry a profuse inventory of replacement parts and a qualified parts/installation team with over 50 years combined experience in the refuse industry. Each member is factory trained to aid customers in diagnosing which part is needed and how that particular part contributes to the overall functioning of the product. Our service personnel possess over 100 years combined experience and are qualified to repair equipment in each line that we handle, particularly excelling in automated packer bodies. They have an integral relationship with the Parts department to consistently upgrade our inventory to ensure a rapid repair turnaround. The salespeople at River City Hydraulics, Inc, both internal and external, are proactive and first-rate marketers. Through their extensive knowledge of all our equipment, they are able to assess potential customers' needs and provide them with the most appropriate product to suite their individual requirements. Our company motto is 'Service After The Sale' and this is evident in every aspect of our business. Throughout the industry, we have a reputation for honesty and sincerity from the top down. Our customers recognize that we will tackle any dilemma that arises and work with them to solve this quandary, even if it","811310","333914","333996","811310","999990","00014","$1,484,000","Private"
"Tech, Mark","7901 Industry Dr","N Little Rock","AR","72117","Tech-Mark.Com","","423990","423990","","","","00004","$3,630,000","Private"
"3 D Engineering","2021 Holly Ave # A","Lake Havasu City","AZ","86403","3deng.Com","","332710","332710","999990","","","00003","$542,000","Private"
"American Family Ins-Adria Clmn","3275 W Ina Rd # 113","Tucson","AZ","85741","Insurance-Agency.Amfam.Com","","524210","524210","524210","524210","","00002","$268,000","Private"
"Associated Gastroenterologists","3815 E Bell Rd # 1250","Phoenix","AZ","85032","Arizonadigestivehealth.Com","","621111","621111","","","","00010","$2,105,000","Private"
"Bentley Systems Inc","1965 W Busoni Pl","Phoenix","AZ","85023","Bentley.Com","","511210","511210","","","","00025","$8,749,000","Private"
"Carl's Jr","1517 N Main St","San Luis","AZ","85349","Carlsjr.Com","","722513","722513","722513","","","00020","$824,000","Private"
"Coldwell Banker","3113 E Lincoln Dr","Phoenix","AZ","85016","Coldwellbankerhomes.Com","","531210","531210","","","","00002","$233,000","Private"
"Desert Dance Theatre","PO Box 25332","Tempe","AZ","85285","Desertdancetheater.Com","","611610","611610","","","","00006","$269,000","Private"
"English Dermatology Ctr","15215 S 48th St # 120","Phoenix","AZ","85044","Englishdermatology.Com","","621493","621111","621493","","","00006","$1,263,000","Private"
"Furry Family Chiropractic","966 E Fry Blvd","Sierra Vista","AZ","85635","Furryfamilychiropractic.Com","","621310","621310","","","","00004","$346,000","Private"
"Heitek Automation","2102 W Quail Ave # 4","Phoenix","AZ","85027","Heitek.Com","Heitek Automation provides pneumatic, motion control and automation solutions to customers across a wide range of industries.Providing a consultative approach, Heitek Automation supplies customers with solutions that improve the efficiency, productivity and profitability of their automated processes in manufacturing, assembly, or distribution.","423420","333999","335313","423420","423830","00025","$20,997,000","Private"
"Jax Pro Pest Control","Signal Butte Rd","Mesa","AZ","85209","Jaxpropest.Com","","561710","561710","","","","00003","$283,000","Private"
"Lesleharp.Com","2727 Southern Ave","Kingman","AZ","86401","Lesleharp.Com","Coaching 4 Purposeful Living Create the Life of Your Dreams","561311","561311","","","","00004","$144,000","Private"
"Men Of Steel Moving","4707 W Taro Dr","Glendale","AZ","85308","Menofsteelmoving.Com","","484110","484110","","","","00005","$621,000","Private"
"NOVUS Auto Glass Repair","13365 W Foxfire Dr # 5","Surprise","AZ","85378","Novusglass.Com","","444190","444190","811121","811112","811122","00003","$873,000","Private"
"Pima Heart","1521 E Tangerine Rd # 325","Oro Valley","AZ","85755","Pimaheart.Com","","621111","621111","","","","00003","$563,000","Private"
"Realty One Group","3530 S Val Vista Dr # 114","Gilbert","AZ","85297","Gilbertoffice.Realtyonegroup.Com","","531210","531210","","","","00002","$233,000","Private"
"Santa Catalina Catholic Church","14380 N Oracle Rd","Tucson","AZ","85739","Santacatalinaparish.Org","","813110","813110","813110","","","00015","$0","Private"
"Spencer's","9819 N Metro Pkwy W","Phoenix","AZ","85051","Spencersonline.Com","","453220","453220","454110","","","00007","$931,000","Private"
"Tennis Is A Raquet LLC","5335 E Shea Blvd","Scottsdale","AZ","85254","Tennisisaracquet.Com","","713940","713940","713940","","","00003","$260,000","Private"
"Us Preferred Realty","1255 W Baseline Rd # 182","Mesa","AZ","85202","Usprefrealty.Com","","531210","531210","","","","00002","$233,000","Private"
"Woolaver Clearsmiles","4425 E Agave Rd # 126","Phoenix","AZ","85044","Clearsmilesarizona.Com","","621210","621210","","","","00004","$576,000","Private"
"76","17280 17th St","Tustin","CA","92780","76.Com","76 gas stations TOP TIER gasoline and other amenities for drivers to fuel up for their adventures. Whether commuting or taking a road trip with friends. 76. We're on the driver's side","447190","447190","","","","00005","$6,472,000","Branch of Public Company"
"Aafes/Army & Air Force Exch","700 E Roth Rd # 549","French Camp","CA","95231","Aafes.Com","","541990","541990","","","","00003","$477,000","Private"
"Active Chiropractic Ctr","14916 Burbank Blvd","Sherman Oaks","CA","91411","Activechiropracticcenter.Com","","621310","621310","","","","00003","$299,000","Private"
"After Image Studio","5837 Comstock Ave","Whittier","CA","90601","Afterimagestudio.Net","","541921","541921","","","","00004","$246,000","Private"
"All About Kids Performing Arts","3300 Wilshire Blvd","Los Angeles","CA","90010","Allaboutkidsla.Org","","611610","711110","611610","","","00001","$0","Private"
"Alt & Assoc","2102 Business Center Dr","Irvine","CA","92612","Altandassociates.Com","","541110","541110","541330","","","00003","$816,000","Private"
"Ameritech Business Systems","2205 N Fresno St # A","Fresno","CA","93703","485-8699.Net","","523930","523930","541511","541512","","00002","$606,000","Private"
"Anytime Fitness","1251 E Main St # 4","Barstow","CA","92311","Anytimefitness.Com","","713940","454110","812191","812191","713940","00002","$109,000","Private"
"Arrow Inspection & Testing","6515 Somerset Blvd","Paramount","CA","90723","Arrowbarricades.Com","","541714","541350","541714","","","00010","$0","Private"
"Atm","2527 W Burbank Blvd","Burbank","CA","91505","Star.Com","","522110","522110","","","","00000","$0","Private"
"Atm","1705 S Tippecanoe Ave","San Bernardino","CA","92408","Star.Com","","522110","522110","","","","00000","$0","Private"
"Autozone","2605 Lake Tahoe Blvd","South Lake Tahoe","CA","96150","Autozone.Com","","441310","441310","441310","","","00010","$1,772,000","Branch of Public Company"
"Banana Republic","13855 City Center Dr # 3045","Chino Hills","CA","91709","Bananarepublic.Gap.Com","","448140","448110","448120","448140","454110","00030","$5,246,000","Branch of Public Company"
"Bay Endodontics","2844 Summit St # 209","Oakland","CA","94609","Bayrootcanal.Com","","621210","621210","","","","00005","$680,000","Private"
"Berkeley Orthodontics","2640 Telegraph Ave # 2","Berkeley","CA","94704","Berkeleyorthodontics.Com","","621210","621210","621210","","","00007","$952,000","Private"
"Birns & Sawyer Inc","5275 Craner Ave","North Hollywood","CA","91601","Birnsandsawyer.Com","Birns and Sawyer, founded in 1954, has been one of the leading rental and sales firm of motion picture equipment in the United States. The company is a one-stop headquarters for rentals in film and high definition digital video and lighting equipment including sales and technical support.  It stocks Arriflex, Moviecam and Aaton film cameras and an expanding inventory of high definition and digital cameras. It also has inventory of rental support equipment for film/digital cinematographers and filmmakers. The company offers affordable monthly hands-on seminars to update the customers on the latest equipment and technical innovations. It has an in-house service department and manufactures a wide range of professional accessory products for HD, digital and film cameras. Birns and Sawyer  is an authorized dealer for Panasonic, Canon, JVC, Arri, Sachtler, Sennheiser, Frezzi and many other high quality products. Birns and Sawyer maintains a complete machine shop and film camera repair facility. Birns and Sawyer is located in Hollywood, Calif.","423410","423410","423990","","","00025","$40,219,000","Private"
"Boost Up Kids Academy","404 E Evelyn Ave","Sunnyvale","CA","94086","Boostupkidsacademy.Com","","611110","611110","","","","00004","$0","Private"
"Brookside Christian High Schl","915 Rosemarie Ln","Stockton","CA","95207","Brooksidechristian.Com","","611110","611110","611110","624410","","00015","$0","Private"
"C A Accounting","300 W Glenoaks Blvd # 101","Glendale","CA","91202","Caaccounting.Com","","541219","541219","","","","00003","$487,000","Private"
"California Marketing Concepts","1550 Bayside Dr","Corona Del Mar","CA","92625","Newportbeachrestaurantweek.Com","","541613","541613","","","","00001","$144,000","Private"
"Car Mart National City","333 National City Blvd","National City","CA","91950","Carmartsandiego.Com","","441120","441120","","","","00002","$1,098,000","Private"
"Catalano Fenske & Assoc","1401 Fulton St # 801","Fresno","CA","93721","Habitatfresnoevents.Org","Catalano Fenske & Associates, LLC (CF&A) is a team of creative, professional individuals who specialize in public relations, marketing, special event planning and business development. We take great pride in the long standing client relationships we have developed since opening our doors in 2003; these relationships are built on trust and sustained through undeniable results. In this fast-paced business world, effective communication is a must for every business in every situation. CF&A does more than just bring ideas to the table. We listen to your vision and work with you to turn that vision into reality. Whether it's a strategic marketing plan or developing your donor base, our goal is to walk the path of success with you every step of the way. 'Catalano Fenske and Associates has been an essential partner in our efforts to take Habitat for Humanity Fresno County to the next level. They consistently bring creative, practical ideas to the table and help us execute in a way that has garnered our organization an incredible amount of publicity and financial support. We are a different and better organization because of them.' 'Catalano Fenske & Associates was ranked the second fastest growing company in Fresno according to The Business Journal's '08 Book of Lists.'","541820","541820","","","","00005","$542,000","Private"
"Challenge Financial Svc","660 Bay Blvd # 201","Chula Vista","CA","91910","Cfsnow.Com","","522291","522291","","","","00005","$3,140,000","Private"
"Chick-Fil-A","8161 LA Palma Ave","Buena Park","CA","90620","Chick-Fil-A.Com","Chick-fil-A is the nation's second-largest quick-service chicken restaurant chain. Fresh ingredients, tasty side dishes, desserts such as Hand-spun Milkshakes. Catering available.","722513","722513","722513","722513","722320","00040","$2,270,000","Private"
"Circle K","8899 LA Mesa Blvd","La Mesa","CA","91942","76.Com","","445120","445120","445110","447190","454310","00007","$1,899,000","Private"
"Coast Citrus Distributors","229 Littlefield Ave","S San Francisco","CA","94080","Coastcitrus.Com","","445230","445230","","","","00005","$940,000","Private"
"Comerica Bank","49 El Camino Real","Millbrae","CA","94030","Comerica.Com","","522110","522110","","","","00007","$1,881,000","Branch of Public Company"
"Cool Cash","13662 Newport Ave # E","Tustin","CA","92780","Whiteglovecars.Com","","522320","522320","522291","","","00007","$2,920,000","Private"
"Crab Pub","6011 El Cajon Blvd # 107","San Diego","CA","92115","Crabpub.Com","","722511","722511","","","","00006","$337,000","Private"
"Cushman & Wakefield Inc","1350 Bayshore Hwy # 900","Burlingame","CA","94010","Dtz.Cassidyturley.Com","Founded in 1981, NAI BT Commercial is a locally owned commercial real estate service firm in California. It operates more than 15 offices and employs over 300 staff members. The firm offers landlord and tenant representations, corporate solutions, investment representation, and retail and research services. NAI BT Commercial deals in apartments, industrial units, office buildings, retail centers and warehouses. It is affiliated with NAI Global, which is one of the leading networks of independent commercial real estate firms in the world. NAI Global manages a network of more than 8,000 professionals and over 350 offices in nearly 50 countries worldwide. The firm completed more than 35,000 transactions worth over $40 billion in 2006. NAI BT Commercial has a location in Burlingame, Calif.","531210","531210","","","","00050","$6,884,000","Private"
"Dark Bear Web Solutions LLC","1151 Martin Luther King Dr","Hayward","CA","94541","Dbwebsolutions.Com","We at Dark Bear Web Solutions Pvt. Ltd. possess the best skills and culture to get your business long term commercial benefits. We love what we do and apps we build are economical, efficient, scalable, durable, and allow businesses to connect to their customers more efficiently.","541511","541511","","","","00009","$1,469,000","Private"
"Demeo Demeo & West Lawyers","565 W College Ave","Santa Rosa","CA","95401","Demeolaw.Net","","541110","541110","","","","00002","$479,000","Private"
"Dignity Healthcare","6511 Coyle Ave","Carmichael","CA","95608","Dignityhealth.Org","","621111","621111","621999","","","00004","$859,000","Private"
"Donna Randolph-State Farm Ins","1650 S Broadway","Santa Maria","CA","93454","Donnarandolph.Com","Our Mission is to help people manage the risks of everyday life, recover from the unexpected and realize their dreams.","524210","524128","524298","524210","524210","00002","$303,000","Private"
"E Health Formula","7071 Warner Ave # F411","Huntington Beach","CA","92647","Ehealthformula.Com","","621999","621999","","","","00005","$677,000","Private"
"Eggleston Family Svc","3346 S LA Cienega Blvd","Los Angeles","CA","90016","Egglestonyouthcenter.Org","","623990","623990","","","","00010","$0","Private"
"Empire Scale Co","1801 Adams Ave","San Leandro","CA","94577","Acmescales.Com","","423440","423440","","","","00030","$31,855,000","Private"
"Eurotech","23532 Commerce Center Dr # B","Laguna Hills","CA","92653","Etechframelessshowers.Com","","444110","444110","811121","","","00002","$820,000","Private"
"Fallbrook Motors","213 W Elder St","Fallbrook","CA","92028","Fallbrookmotors.Com","","441120","441120","","","","00002","$1,098,000","Private"
"Farmers Insurance-Monika Singh","8624 Reseda Blvd","Northridge","CA","91324","Agents.Farmers.Com","As your personal Farmers Insurance agent located in Northridge, I believe in keeping you informed of ways to protect what's important to you. Whether you're looking for auto insurance, homeowners insurance, life insurance, or specialty coverage, Farmers Insurance will help you select the right products to fit your insurance needs. Auto Insurance at Farmers Insurance offers a variety of auto insurance products to fit your needs. In case you're involved in an accident, Farmers auto, motorcycle & car insurance can help provide financial protection for you and your family. Whether you need homeowners insurance or renters insurance, Farmers offers home insurance coverage for protecting you and your belongings. Farmers Insurance also offers life insurance, business insurance, and motorcycle insurance to help protect your hard earned assets. Visit our website for a competitive quote to help save money & better protect your family today!","524210","524126","524210","524210","524210","00002","$347,000","Private"
"Firestone Complete Auto Care","200 S California St","Ventura","CA","93001","Firestonecompleteautocare.Com","Our skilled technicians are ready to serve all of your vehicle needs. From tires, auto service, brakes, and alignments, it's a one stop shopping experience. Call or make an appointment online today.","811111","441310","441310","441320","811198","00009","$1,312,000","Private"
"Foothill Lounge","3311 San Felipe Rd","San Jose","CA","95135","Foothilllounge.Webs.Com","","722410","722410","","","","00062","$7,634,000","Private"
"FRI Energy Consultants LLC","21 Harrison Ave # 210","Campbell","CA","95008","Frienergyconsultants.Com","","541330","541330","541612","","","00004","$911,000","Private"
"Gartzke, Michael J CPA","5669 Calle Real # A","Goleta","CA","93117","Mikegartzke.Com","","541211","541211","","","","00002","$237,000","Private"
"Gleason, Colleen Np","5319 W Hillsdale Ave","Visalia","CA","93291","Boniske.Com","","621399","621399","","","","00001","$56,000","Private"
"Goodwill","411 E Palm Ave # A-2","Redlands","CA","92373","Goodwill.Org","","453310","453310","","","","00013","$6,458,000","Private"
"Grimmius Cattle Co","5715 Kansas Ave","Hanford","CA","93230","Grimmiuscattle.Com","Founded in 1963, Grimmius Cattle Company is a family-owned and operated calf nursery that specializes in custom raising heifers and purchasing bulls from area dairies. It offers a range of health care services for calves to keep them comfortable and healthy. Grimmius Cattle Company s quality assurance programs include the identification of animals, doctoring practices, and sanitation and environmental concerns.","112990","112990","","","","00060","$2,467,000","Private"
"Hammers Handyman & Constr Co","","San Carlos","CA","94070","Hammershandymanandconstruction.Com","","236118","236118","","","","00001","$414,000","Private"
"Healthcare Partners Med Group","450 E Huntington Dr","Arcadia","CA","91006","Healthcarepartners.Com","","621391","621391","","","","00003","$445,000","Private"
"Hilltop Medical West","2123 Eureka Way","Redding","CA","96001","Hilltopmedicalclinic.Com","","621399","621399","","","","00001","$55,000","Private"
"Host Marketing","1308 E Colorado Blvd # 280","Pasadena","CA","91106","Winhost.Com","","541613","541613","","","","00006","$737,000","Private"
"IHOP Restaurant","7228 Archibald Ave","Alta Loma","CA","91701","Ihop.Com","Some of the best memories are made at the breakfast table. And for more than 50 years, millions of people have made those memories at IHOP.","722511","722511","722511","722511","","00030","$1,520,000","Branch of Public Company"
"Instorage-Stanton","11236 Western Ave","Stanton","CA","90680","Totalstoragesolutions.Com","At Instorage Self Storage - Stanton, customer service is our top priority. Conveniently located behind ConstructionServices.Com and Western Backup Solutions, our facility features storage units ranging in size from 5 x 5 to 12 x 25, with drive up access to most. We offer packing supplies and moving truck rentals as well. Our secure facility has gated access and individually alarmed units so youll never have to worry about your belongings. You can always visit our website to pay your bill, check your balance, and make reservations. Check out our website for more information about discounts & specials and reserve your unit online today!","493190","493110","531130","493190","493190","00002","$139,000","Private"
"J C Computer3","2089 S Atlantic Blvd","Monterey Park","CA","91754","Jccomputersusa.Com","","811212","443142","811212","811118","","00003","$651,000","Private"
"JC Penney Distribution Ctr","700 Darcy Pkwy","Lathrop","CA","95330","Jcpenney.Com","","423990","423990","","","","00019","$17,882,000","Branch of Public Company"
"Johnny B's Burgers Brew","8393 LA Mesa Blvd","La Mesa","CA","91942","Johnnybsburgersandbrew.Com","Come join us at our bar and grill where our friendly restaurant atmosphere makes you feel at home. Enjoy our great lunch & dinner specials as we serve delicious burgers and other menu items for everyone to enjoy. We have a full sports bar & an outside patio also. Must be 21 & older. Visit us today for happy hour!","722410","722511","722410","","","00010","$578,000","Private"
"Kaiser Permanente Hospital","2200 Ofarrell St","San Francisco","CA","94115","Exo5.Com","","621111","621111","","","","00003","$677,000","Private"
"Keypoint Credit Union","2805 Bowers Ave # 105","Santa Clara","CA","95051","Kpcu.Com","","522130","522130","","","","00007","$1,432,000","Private"
"Kotkin Bernard & Co LLP","533 S Fremont Ave # 802","Los Angeles","CA","90071","Bernardkotkin.Com","","541211","541213","541211","","","00005","$811,000","Private"
"Lady Di's Cookies & Sweets","26882 The Old Rd","Valencia","CA","91381","Ladydiscookiesandsweets.Com","Established in 1994, Lady Di's Cookies is the firm involved in the business of providing cookies and gift packages. Based in Valencia, Calif., the firm provides an array of cookies with a wide variety of flavors, such as Loaded Chocolate Chip, Outrageous Oatmeal Raisin, Sugar-Free Oatmeal Raisin, Old Fashioned Butterscotch and Sensational Peanut Butter, to name a few. It also offers wide variety of brownie flavors, which includes Chocolate Reese's Brownie, Chocolate Fudge Brownie and Magic Cookie Bar, among others.","722515","424490","722515","","","00012","$711,000","Private"
"Law Offices Of Yvonne Hsu","1170 Roosevelt","Irvine","CA","92620","Yvonnehsulaw.Com","","541110","541110","","","","00003","$816,000","Private"
"Liberty Tax Svc","5556 E Kings Canyon Rd","Fresno","CA","93727","Libertytax.Com","Liberty Tax-a full service income tax preparation company. Visit your local Liberty Tax office for professional &amp; friendly tax preparation help &amp; tax classes to help maximize your refund!. Offering expert tax preparation &amp; superior customer service. Office hours vary by location. Now through November 15th call for our off season hours or to make an appointment.","541213","541213","541219","","","00006","$172,000","Branch of Public Company"
"Local Search Monkey","6977 Navajo Rd # 182","San Diego","CA","92119","Localsearchmonkey.Com","","541810","541810","518210","","","00007","$509,000","Private"
